City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cova figueira,14.8905,-24.2934,22.7,78,14,5.55,CV,1694949120
84,port alfred,-33.5906,26.891,19.54,47,75,4.02,ZA,1694949120
85,whitehorse,60.7161,-135.0538,3.92,95,99,3.06,CA,1694948955
86,yellowknife,62.456,-114.3525,10.79,99,97,2.68,CA,1694949121
87,kalmunai,7.4167,81.8167,29.75,64,97,7.72,LK,1694949121
88,ambon,-3.6954,128.1814,27.71,15,40,3.09,ID,1694949121
89,bredasdorp,-34.5322,20.0403,17.01,48,83,3.41,ZA,1694949121
90,jamestown,42.097,-79.2353,10.31,95,0,1.54,US,1694949122
91,pisco,-13.7,-76.2167,17.03,82,83,1.03,PE,1694949122
92,zheleznogorsk-ilimskiy,56.5768,104.1217,13.53,69,34,1.49,RU,1694948911
93,taoudenni,22.6783,-3.9836,41.84,15,26,6.88,ML,1694949122
94,alo,7.4178,6.7371,29.07,73,84,3.27,NG,1694949122
95,tiksi,71.6872,128.8694,0.02,91,100,4.21,RU,1694948905
96,port lincoln,-34.7333,135.8667,15.2,83,84,9.28,AU,1694949123
97,hailey,43.5196,-114.3153,14.38,57,0,4.12,US,1694949123
98,as sulayyil,20.4607,45.5779,41.33,7,100,2.31,SA,1694949023
99,north platte,41.1239,-100.7654,12.43,87,0,0.0,US,1694949124
100,enewetak,11.3474,162.3373,29.18,78,100,7.55,MH,1694949124
101,carnarvon,-24.8667,113.6333,20.45,74,60,10.03,AU,1694949124
102,anadyr,64.75,177.4833,-2.72,100,20,2.0,RU,1694949124
103,puerto aysen,-45.4,-72.7,0.01,97,97,1.66,CL,1694949124
104,igarka,67.4667,86.5833,6.85,59,92,2.35,RU,1694949124
105,atafu village,-8.5421,-172.5159,29.07,77,13,7.38,TK,1694949125
106,kievka,50.2619,71.5514,17.96,44,70,2.97,KZ,1694949125
107,grand falls-windsor,48.9332,-55.6649,19.72,96,99,0.45,CA,1694949125
108,yeed,4.55,43.0333,34.53,32,53,7.9,SO,1694949125
109,luderitz,-26.6481,15.1594,23.24,36,0,8.45,NA,1694949125
110,amursk,50.2261,136.8994,13.0,69,85,1.25,RU,1694949125
111,asau,46.4333,26.4,22.51,46,79,2.73,RO,1694949126
112,paita,-5.0892,-81.1144,19.15,89,97,4.27,PE,1694949126
113,fortuna,40.5982,-124.1573,14.64,97,100,1.54,US,1694949126
114,leava,-14.3,-178.1667,27.55,73,95,10.52,WF,1694949126
115,lebu,-37.6167,-73.65,5.83,81,28,1.44,CL,1694949126
